Title,Author(s),Year,Source,Status,Exclusion Criteria,Inclusion Criteria,Quality Grade,Goal
Assessing the effectiveness of goal-oriented modeling languages: A family of experiments,Silvia Abrahão and Emilio Insfran and Fernando González-Ladrón-de-Guevara and Marta Fernández-Diego and Carlos Cano-Genoves and Raphael {Pereira de Oliveira},2019,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
"Special section from the International Conference on Evaluation and Assessment in Software Engineering, 2013",Guilherme Horta Travassos and Natália Juristo,2015,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Scientific research ontology to support systematic review in software engineering,Jorge Calmon {de Almeida Biolchini} and Paula Gomes Mian and Ana Candida Cruz Natali and Tayana Uchôa Conte and Guilherme Horta Travassos,2007,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Impact of software development processes on the outcomes of student computing projects: A tale of two universities,Rafal Włodarski and Aneta Poniszewska-Marańda and Jean-Remy Falleri,2022,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
Quality of UML models,Marcela Genero and Mario Piattini and Michel Chaudron,2009,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Development of a human error taxonomy for software requirements: A systematic literature review,Vaibhav Anu and Wenhua Hu and Jeffrey C Carver and Gursimran S Walia and Gary Bradshaw,2018,Science@Direct,Rejected,Not a primary study,,N/A,N/A
The crosscutting impact of the AOSD Brazilian research community,Uirá Kulesza and Sérgio Soares and Christina Chavez and Fernando Castor and Paulo Borba and Carlos Lucena and Paulo Masiero and Claudio Sant’Anna and Fabiano Ferrari and Vander Alves and Roberta Coelho and Eduardo Figueiredo and Paulo F. Pires and Flávia Delicato and Eduardo Piveta and Carla Silva and Valter Camargo and Rosana Braga and Julio Leite and Otávio Lemos and Nabor Mendonça and Thais Batista and Rodrigo Bonifácio and Nélio Cacho and Lyrene Silva and Arndt {von Staa} and Fábio Silveira and Marco Túlio Valente and Fernanda Alencar and Jaelson Castro and Ricardo Ramos and Rosangela Penteado and Cecília Rubira,2013,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Keyword Index,,2006,Science@Direct,Rejected,Out of Scope,,N/A,N/A
On the testing resource allocation problem: Research trends and perspectives,Roberto Pietrantuono,2020,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Ontology-based feature modeling: An empirical study in changing scenarios,Diego Dermeval and Thyago Tenório and Ig Ibert Bittencourt and Alan Silva and Seiji Isotani and Márcio Ribeiro,2015,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
A family of experiments to validate metrics for software process models,G. Canfora and F. García and M. Piattini and F. Ruiz and C.A. Visaggio,2005,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
The impact of Use Cases in real-world software development projects: A systematic mapping study,José L. Barros-Justo and Fabiane B.V. Benitti and Saurabh Tiwari,2019,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Kanban in software engineering: A systematic mapping study,Muhammad Ovais Ahmad and Denis Dennehy and Kieran Conboy and Markku Oivo,2018,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Software engineering challenges of the “Net” generation,Hossein Saiedian,2009,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Chapter 5 - Action Research Can Swing the Balance in Experimental Software Engineering,Paulo Sérgio Medeiros dos Santos and Guilherme Horta Travassos,2011,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A systematic review of evaluation of variability management approaches in software product lines,Lianping Chen and Muhammad {Ali Babar},2011,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Software project control centers: concepts and approaches,Jürgen Münch and Jens Heidrich,2004,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A controlled experiment to evaluate how styles affect the understandability of requirements specifications,Erik Kamsties and Antje {von Knethen} and Ralf Reussner,2003,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Pair programming productivity: Novice–novice vs. expert–expert,Kim Man Lui and Keith C.C. Chan,2006,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
Empirical research on concurrent software testing: A systematic mapping study,Silvana M. Melo and Jeffrey C. Carver and Paulo S.L. Souza and Simone R.S. Souza,2019,Science@Direct,Rejected,Not a primary study,,N/A,N/A
A systematic review of knowledge sharing challenges and practices in global software development,Mansooreh Zahedi and Mojtaba Shahin and Muhammad {Ali Babar},2016,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Theory-oriented software engineering,Klaas-Jan Stol and Brian Fitzgerald,2015,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A systematic literature review on the usage of eye-tracking in software engineering,Zohreh Sharafi and Zéphyrin Soh and Yann-Gaël Guéhéneuc,2015,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Software evolution visualization: A systematic mapping study,Renato Lima Novais and André Torres and Thiago Souto Mendes and Manoel Mendonça and Nico Zazworka,2013,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Guidelines for including grey literature and conducting multivocal literature reviews in software engineering,Vahid Garousi and Michael Felderer and Mika V. Mäntylä,2019,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Simulating families of studies to build confidence in defect hypotheses,Forrest Shull and Daniela Cruzes and Victor Basili and Manoel Mendonça,2005,Science@Direct,Accepted,,Experiment,1.0,Confirm conventional wisdom
Software Engineering in Brazil: Retrospective and prospective views,Alessandro Garcia,2013,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A systematic literature review of machine learning techniques for software maintainability prediction,Hadeel Alsolai and Marc Roper,2020,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Requirements engineering: A systematic mapping study in agile software development,Karina Curcio and Tiago Navarro and Andreia Malucelli and Sheila Reinehr,2018,Science@Direct,Rejected,Not a primary study,,N/A,N/A
A systematic mapping study of web application testing,Vahid Garousi and Ali Mesbah and Aysu Betin-Can and Shabnam Mirshokraie,2013,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Special issue on architecting for hyper connectivity and hyper virtualization,Bedir Tekinerdogan and Uwe Zdun and M. Ali Babar,2019,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Model-based testing of software product lines: Mapping study and research roadmap,Kleber L. Petry and Edson OliveiraJr and Avelino F. Zorzo,2020,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Chapter Three - Advances in Applications of Object Constraint Language for Software Engineering,Atif A. Jilani and Muhammad Z. Iqbal and Muhammad U. Khan and Muhammad Usman,2019,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Covering code behavior on input validation in functional testing,Hui Liu and Hee Beng {Kuan Tan},2009,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A systematic review on regression test selection techniques,Emelie Engström and Per Runeson and Mats Skoglund,2010,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Theorizing about software development practices,Tero Päivärinta and Kari Smolander,2015,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Characterizing testing methods for context-aware software systems: Results from a quasi-systematic literature review,Santiago Matalonga and Felyppe Rodrigues and Guilherme Horta Travassos,2017,Science@Direct,Rejected,Not a primary study,,N/A,N/A
An analysis of the most cited articles in software engineering journals—1999,Claes Wohlin,2005,Science@Direct,Rejected,Out of Scope,,N/A,N/A
"Software security patch management - A systematic literature review of challenges, approaches, tools and practices",Nesara Dissanayake and Asangi Jayatilaka and Mansooreh Zahedi and M. Ali Babar,2022,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Experimental assessment of XOR-Masking data obfuscation based on K-Clique opaque constants,Roberto Fellin and Mariano Ceccato,2020,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Guest editors' introduction to the 6th issue of Experimental Software and Toolkits (EST-6),Mark G.J. {van den Brand} and Jurgen J. Vinju and Kim Mens,2017,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A systematic review of research on open source software in commercial software product development,Martin Höst and Alma Oručević-Alagić,2011,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Communication channels in safety analysis: An industrial exploratory case study,Yang Wang and Daniel Graziotin and Stefan Kriso and Stefan Wagner,2019,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Taupe: Visualizing and analyzing eye-tracking data,Benoît {De Smet} and Lorent Lempereur and Zohreh Sharafi and Yann-Gaël Guéhéneuc and Giuliano Antoniol and Naji Habra,2014,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A systematic review on the code smell effect,José Amancio M. Santos and João B. Rocha-Junior and Luciana Carla Lins Prates and Rogeres Santos do Nascimento and Mydiã Falcão Freitas and Manoel Gomes de Mendonça,2018,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Software engineering article types: An analysis of the literature,Michela Montesi and Patricia Lago,2008,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Findings from a multi-method study on test-driven development,Simone Romano and Davide Fucci and Giuseppe Scanniello and Burak Turhan and Natalia Juristo,2017,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
A systematic mapping study on text analysis techniques in software architecture,Tingting Bi and Peng Liang and Antony Tang and Chen Yang,2018,Science@Direct,Rejected,Not a primary study,,N/A,N/A
A systematic literature review of use case specifications research,Saurabh Tiwari and Atul Gupta,2015,Science@Direct,Rejected,Not a primary study,,N/A,N/A
An analysis of the most cited articles in software engineering journals – 2001,Claes Wohlin,2008,Science@Direct,Rejected,Not a primary study,,N/A,N/A
The MegaM@Rt2 ECSEL project: MegaModelling at Runtime – Scalable model-based framework for continuous development and runtime validation of complex systems,Wasif Afzal and Hugo Bruneliere and Davide {Di Ruscio} and Andrey Sadovykh and Silvia Mazzini and Eric Cariou and Dragos Truscan and Jordi Cabot and Abel Gómez and Jesús Gorroñogoitia and Luigi Pomante and Pavel Smrz,2018,Science@Direct,Rejected,Out of Scope,,N/A,N/A
A Systematic Approach to Construct Compositional Behaviour Models for Network-structured Safety-critical Systems,Johannes Kloos and Robert Eschbach,2010,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Statechart features and pre-release maintenance defects,Jeanette Heidenberg and Andreas Nåls and Ivan Porres,2008,Science@Direct,Accepted,,Survey,1.0,Explore relationships
A systematic literature review to identify and classify software requirement errors,Gursimran Singh Walia and Jeffrey C. Carver,2009,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Prioritizing code documentation effort: Can we do it simpler but better?,Shiran Liu and Zhaoqiang Guo and Yanhui Li and Hongmin Lu and Lin Chen and Lei Xu and Yuming Zhou and Baowen Xu,2021,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
"Capture–recapture in software inspections after 10 years research––theory, evaluation and application",Håkan Petersson and Thomas Thelin and Per Runeson and Claes Wohlin,2004,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Test automation of a measurement system using a domain-specific modelling language,Tomaž Kos and Marjan Mernik and Tomaž Kosar,2016,Science@Direct,Rejected,Out of Scope,,N/A,N/A
The RIGHT model for Continuous Experimentation,Fabian Fagerholm and Alejandro {Sanchez Guinea} and Hanna Mäenpää and Jürgen Münch,2017,Science@Direct,Rejected,Out of Scope,,N/A,N/A
An extensive systematic review on the Model-Driven Development of secure systems,Phu H. Nguyen and Max Kramer and Jacques Klein and Yves Le Traon,2015,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Testing input validation in Web applications through automated model recovery,Hui Liu and Hee Beng {Kuan Tan},2008,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Mining software repositories for comprehensible software fault prediction models,Olivier Vandecruys and David Martens and Bart Baesens and Christophe Mues and Manu {De Backer} and Raf Haesen,2008,Science@Direct,Accepted,,Experiment,0.0,
Replications of software engineering experiments,"Carver, Jeffrey C. and Juristo, Natalia and Baldassarre, Maria Teresa and Vegas, Sira",2014,Springer Link,Accepted,,Survey,1.0,Validate measures
Extracting reusable design decisions for UML-based domain-specific languages: A multi-method study,Stefan Sobernig and Bernhard Hoisl and Mark Strembeck,2016,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Qualitative research in software engineering,"Dybå, Tore and Prikladnicki, Rafael and Rönkkö, Kari and Seaman, Carolyn and Sillito, Jonathan",2011,Springer Link,Rejected,Out of Scope,,N/A,N/A
Exploring spatially-aware cross-device interaction techniques for mobile collaborative sensemaking,Giuseppe Desolda and Carmelo Ardito and Hans-Christian Jetter and Rosa Lanzilotti,2019,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
An empirical comparative evaluation of gestUI to include gesture-based interaction in user interfaces,Otto Parra and Sergio España and Jose Ignacio Panach and Oscar Pastor,2019,Science@Direct,Accepted,,Experiment,1.0,Explore relationships
Evaluating guidelines for reporting empirical software engineering studies,"Kitchenham, Barbara and Al-Khilidar, Hiyam and Babar, Muhammed Ali and Berry, Mike and Cox, Karl and Keung, Jacky and Kurniawati, Felicia and Staples, Mark and Zhang, He and Zhu, Liming",2008,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Time pressure in software engineering: A systematic review,Miikka Kuutila and Mika Mäntylä and Umar Farooq and Maëlick Claes,2020,Science@Direct,Rejected,Not a primary study,,N/A,N/A
A systematic mapping study of clone visualization,Muhammad Hammad and Hamid Abdul Basit and Stan Jarzabek and Rainer Koschke,2020,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Semi-automatic architectural pattern identification and documentation using architectural primitives,Thomas Haitzer and Uwe Zdun,2015,Science@Direct,Accepted,,Case Study,1.0,Evaluate the accuracy of models
The Robot Operating System: Package reuse and community dynamics,Pablo Estefo and Jocelyn Simmonds and Romain Robbes and Johan Fabry,2019,Science@Direct,Accepted,,Survey,1.0,Explore relationships
Action-Oriented Programming Model: Collective Executions and Interactions in the Fog,Niko Mäkitalo and Timo Aaltonen and Mikko Raatikainen and Aleksandr Ometov and Sergey Andreev and Yevgeni Koucheryavy and Tommi Mikkonen,2019,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Execution trace analysis through massive sequence and circular bundle views,Bas Cornelissen and Andy Zaidman and Danny Holten and Leon Moonen and Arie {van Deursen} and Jarke J. {van Wijk},2008,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
